ORF_A	ORF_B	Gene_A	Gene_B 
YDR395W	YOL070C	SXM1	NBA1 
YDR395W	YDR395W	SXM1	SXM1 
YGR129W	YMR213W	SYF2	CEF1 
YGR129W	YLL036C	SYF2	PRP19 
YGR129W	YGR129W	SYF2	SYF2 
YGR129W	YLR117C	SYF2	CLF1 
YPR165W	YPR165W	RHO1	RHO1 
YLR031W	YLR315W	YLR031W	NKP2 
YLR031W	YMR117C	YLR031W	SPC24 
YLR031W	YMR124W	YLR031W	YMR124W 
YLR031W	YOL069W	YLR031W	NUF2 
YCR101C	YPL240C	YCR101C	HSP82 
YCR101C	YCR101C	YCR101C	YCR101C 
YCR101C	YIL061C	YCR101C	SNP1 
YCR101C	YGR216C	YCR101C	GPI1 
YCR101C	YHL042W	YCR101C	YHL042W 
YGR097W	YGR097W	ASK10	ASK10 
YGR097W	YKL116C	ASK10	PRR1 
YHR215W	YHR215W	PHO12	PHO12 
YKL025C	YLR291C	PAN3	GCD7 
YKL025C	YKL025C	PAN3	PAN3 
YKL025C	YKL129C	PAN3	MYO3 
YKR011C	YKR011C	YKR011C	YKR011C 
YEL004W	YPL264C	YEA4	YPL264C 
YEL004W	YEL004W	YEA4	YEA4 
YJL200C	YOL133W	ACO2	HRT1 
YLL027W	YLL027W	ISA1	ISA1 
YLR045C	YML124C	STU2	TUB3 
YLR045C	YML085C	STU2	TUB1 
YLR045C	YOR269W	STU2	PAC1 
YLR045C	YPL269W	STU2	KAR9 
YLR045C	YLR045C	STU2	STU2 
YLR045C	YMR190C	STU2	SGS1 
YDR348C	YMR295C	YDR348C	YMR295C 
YDR348C	YDR348C	YDR348C	YDR348C 
YDR348C	YNL161W	YDR348C	CBK1 
YGR003W	YOL133W	CUL3	HRT1 
YGL060W	YOL133W	YBP2	HRT1 
YGL060W	YLR191W	YBP2	PEX13 
YGL060W	YGL060W	YBP2	YBP2 
YGL060W	YHL002W	YBP2	HSE1 
YGL060W	YHR016C	YBP2	YSC84 
YGL060W	YMR032W	YBP2	HOF1 
YLL007C	YLL007C	YLL007C	YLL007C 
YEL009C	YPR046W	GCN4	MCM16 
YEL009C	YOL051W	GCN4	GAL11 
YEL009C	YPL031C	GCN4	PHO85 
YEL009C	YOR290C	GCN4	SNF2 
YEL009C	YEL009C	GCN4	GCN4 
YEL009C	YPL038W	GCN4	MET31 
YOR083W	YPL240C	WHI5	HSP82 
YOR083W	YOR083W	WHI5	WHI5 
YEL015W	YJR140C	EDC3	HIR3 
YEL015W	YER105C	EDC3	NUP157 
YEL015W	YER032W	EDC3	FIR1 
YEL015W	YGR116W	EDC3	SPT6 
YEL015W	YNL118C	EDC3	DCP2 
YEL015W	YOL149W	EDC3	DCP1 
YEL015W	YML064C	EDC3	TEM1 
YEL015W	YIL046W	EDC3	MET30 
YEL015W	YGL173C	EDC3	KEM1 
YEL015W	YJR022W	EDC3	LSM8 
YEL015W	YER124C	EDC3	DSE1 
YEL015W	YMR109W	EDC3	MYO5 
YEL015W	YLR082C	EDC3	SRL2 
YEL015W	YEL015W	EDC3	EDC3 
YDR329C	YMR203W	PEX3	TOM40 
YDR329C	YDR329C	PEX3	PEX3 
YBR252W	YLR291C	DUT1	GCD7 
YBR252W	YNL189W	DUT1	SRP1 
YBR252W	YBR252W	DUT1	DUT1 
YHR209W	YOR319W	CRG1	HSH49 
YPR008W	YPR008W	HAA1	HAA1 
YER075C	YER075C	PTP3	PTP3 
YER075C	YHR030C	PTP3	SLT2 
YDL203C	YDL203C	ACK1	ACK1 
YDL203C	YOR372C	ACK1	NDD1 
YDL203C	YGR058W	ACK1	PEF1 
YDL203C	YER125W	ACK1	RSP5 
YBR050C	YER133W	REG2	GLC7 
YBR050C	YBR050C	REG2	REG2 
YBR050C	YNR052C	REG2	POP2 
YMR197C	YOR106W	VTI1	VAM3 
YMR197C	YMR197C	VTI1	VTI1 
YER054C	YER054C	GIP2	GIP2 
YER054C	YER133W	GIP2	GLC7 
YER054C	YER118C	GIP2	SHO1 
YNL201C	YPL031C	PSY2	PHO85 
YNL201C	YPL153C	PSY2	RAD53 
YNL201C	YNL201C	PSY2	PSY2 
YNL201C	YOR355W	PSY2	GDS1 
YNL201C	YPR115W	PSY2	RGC1 
YNL201C	YOR047C	PSY2	STD1 
YCR061W	YOR266W	YCR061W	PNT1 
YCR061W	YHL048W	YCR061W	COS8 
YCR061W	YIL134W	YCR061W	FLX1 
YCR061W	YLL048C	YCR061W	YBT1 
YCR061W	YPR058W	YCR061W	YMC1 
YCR061W	YMR243C	YCR061W	ZRC1 
YCR061W	YCR061W	YCR061W	YCR061W 
YCR061W	YIL147C	YCR061W	SLN1 
YCR061W	YJR117W	YCR061W	STE24 
YCR061W	YHR103W	YCR061W	SBE22 
YCR061W	YNR066C	YCR061W	YNR066C 
YCR061W	YDL035C	YCR061W	GPR1 
YCR061W	YKL004W	YCR061W	AUR1 
YCR061W	YGR055W	YCR061W	MUP1 
YCR061W	YNL318C	YCR061W	HXT14 
YCR061W	YLR138W	YCR061W	NHA1 
YCR061W	YER001W	YCR061W	MNN1 
YCR061W	YEL063C	YCR061W	CAN1 
YDL116W	YKL057C	NUP84	NUP120 
YDL116W	YNL118C	NUP84	DCP2 
YDL116W	YKR082W	NUP84	NUP133 
YDL116W	YJR042W	NUP84	NUP85 
YDL116W	YLR208W	NUP84	SEC13 
YDL116W	YGL092W	NUP84	NUP145 
YPR124W	YPR124W	CTR1	CTR1 
YBR089CA	YCR084C	NHP6B	TUP1 
YDL165W	YDL165W	CDC36	CDC36 
YDL165W	YPR072W	CDC36	NOT5 
YDL165W	YGR014W	CDC36	MSB2 
YDL165W	YER018C	CDC36	SPC25 
YIL143C	YIR009W	SSL2	MSL1 
YIL143C	YIL143C	SSL2	SSL2 
YGR240C	YMR205C	PFK1	PFK2 
YGR240C	YGR240C	PFK1	PFK1 
YGR240C	YMR032W	PFK1	HOF1 
YGR240C	YMR223W	PFK1	UBP8 
YDR167W	YGR274C	TAF10	TAF1 
YDR167W	YMR005W	TAF10	TAF4 
YDR167W	YGL112C	TAF10	TAF6 
YDR167W	YML114C	TAF10	TAF8 
YDR167W	YPL129W	TAF10	TAF14 
YDR167W	YMR236W	TAF10	TAF9 
YDR167W	YML015C	TAF10	TAF11 
YDR167W	YER148W	TAF10	SPT15 
YDR167W	YDR167W	TAF10	TAF10 
YDR167W	YHR099W	TAF10	TRA1 
YDR167W	YLR432W	TAF10	IMD3 
YDR167W	YDR448W	TAF10	ADA2 
YDR167W	YML098W	TAF10	TAF13 
YDR167W	YPL011C	TAF10	TAF3 
YDR167W	YGR252W	TAF10	GCN5 
YDR167W	YMR227C	TAF10	TAF7 
YDR167W	YPL254W	TAF10	HFI1 
YDR167W	YDR176W	TAF10	NGG1 
YDR167W	YLR055C	TAF10	SPT8 
YDR167W	YDR392W	TAF10	SPT3 
YDR167W	YOL148C	TAF10	SPT20 
YER052C	YER052C	HOM3	HOM3 
YER052C	YNL135C	HOM3	FPR1 
YER052C	YLR310C	HOM3	CDC25 
YER052C	YJL058C	HOM3	BIT61 
YPR187W	YPR187W	RPO26	RPO26 
YGR178C	YGR178C	PBP1	PBP1 
YGR178C	YNR014W	PBP1	YNR014W 
YGR178C	YHR121W	PBP1	LSM12 
YJL065C	YJL065C	DLS1	DLS1 
YJL065C	YNR029C	DLS1	YNR029C 
YBR122C	YFR024CA	MRPL36	LSB3 
YBR122C	YHR016C	MRPL36	YSC84 
YBR122C	YGR211W	MRPL36	ZPR1 
YBR279W	YHL002W	PAF1	HSE1 
YBR279W	YBR279W	PAF1	PAF1 
YBR279W	YOL145C	PAF1	CTR9 
YBR279W	YOR123C	PAF1	LEO1 
YMR221C	YMR221C	YMR221C	YMR221C 
YER130C	YML051W	YER130C	GAL80 
YBR155W	YPL240C	CNS1	HSP82 
YBR155W	YDR463W	CNS1	STP1 
YBR155W	YMR186W	CNS1	HSC82 
YBR155W	YBR155W	CNS1	CNS1 
YPL147W	YPL147W	PXA1	PXA1 
YPL147W	YPL274W	PXA1	SAM3 
YLR270W	YLR270W	DCS1	DCS1 
YCL008C	YCL008C	STP22	STP22 
YCL008C	YNR006W	STP22	VPS27 
YCL008C	YHR016C	STP22	YSC84 
YCL008C	YHL002W	STP22	HSE1 
YCL008C	YMR032W	STP22	HOF1 
YCL008C	YFR024CA	STP22	LSB3 
YCL008C	YLR191W	STP22	PEX13 
YCL008C	YPL065W	STP22	VPS28 
YMR296C	YMR296C	LCB1	LCB1 
YDR313C	YPL133C	PIB1	RDS2 
YDR313C	YDR313C	PIB1	PIB1 
YKL007W	YKL007W	CAP1	CAP1 
YKL007W	YPR171W	CAP1	BSP1 
YIL048W	YLR241W	NEO1	YLR241W 
YIL048W	YIL048W	NEO1	NEO1 
YIL048W	YJL124C	NEO1	LSM1 
YIL048W	YJL196C	NEO1	ELO1 
YDL213C	YDL213C	NOP6	NOP6 
YDL213C	YFR032C	NOP6	RRT5 
YDR443C	YDR443C	SSN2	SSN2 
YOR324C	YPL093W	FRT1	NOG1 
YOR324C	YPR153W	FRT1	YPR153W 
YIL146C	YPL240C	ATG32	HSP82 
YIL146C	YPR049C	ATG32	ATG11 
YIL171W	YML002W	YIL171W	YML002W 
YIL171W	YJR117W	YIL171W	STE24 
YIL171W	YPR028W	YIL171W	YOP1 
YNL218W	YNL218W	MGS1	MGS1 
YPL214C	YPL214C	THI6	THI6 
YBR270C	YFR050C	BIT2	PRE4 
YBR270C	YLR117C	BIT2	CLF1 
YBR270C	YIL105C	BIT2	SLM1 
YBR270C	YBR270C	BIT2	BIT2 
YBR270C	YIL046W	BIT2	MET30 
YBR270C	YKR026C	BIT2	GCN3 
YBR270C	YMR236W	BIT2	TAF9 
YEL063C	YHR133C	CAN1	NSG1 
YEL063C	YGR284C	CAN1	ERV29 
YEL063C	YJL091C	CAN1	GWT1 
YEL063C	YHR142W	CAN1	CHS7 
YEL063C	YGL051W	CAN1	MST27 
YEL063C	YLR372W	CAN1	SUR4 
YEL063C	YOR254C	CAN1	SEC63 
YEL063C	YMR292W	CAN1	GOT1 
YEL063C	YJL117W	CAN1	PHO86 
YEL063C	YPL240C	CAN1	HSP82 
YEL063C	YMR264W	CAN1	CUE1 
YEL063C	YJR117W	CAN1	STE24 
YEL063C	YJR010CA	CAN1	SPC1 
YEL063C	YHR140W	CAN1	YHR140W 
YEL063C	YML048W	CAN1	GSF2 
YEL063C	YOL132W	CAN1	GAS4 
YEL063C	YNL125C	CAN1	ESBP6 
YEL063C	YEL063C	CAN1	CAN1 
YEL063C	YIL016W	CAN1	SNL1 
YEL063C	YPL076W	CAN1	GPI2 
YEL063C	YKL154W	CAN1	SRP102 
YEL063C	YJL196C	CAN1	ELO1 
YEL063C	YFL041W	CAN1	FET5 
YEL063C	YOR161C	CAN1	PNS1 
YEL063C	YKL065C	CAN1	YET1 
YEL063C	YLR343W	CAN1	GAS2 
YEL063C	YIL140W	CAN1	AXL2 
YEL063C	YPL234C	CAN1	VMA11 
YEL063C	YPL227C	CAN1	ALG5 
YEL063C	YOR016C	CAN1	ERP4 
YEL063C	YJL002C	CAN1	OST1 
YEL063C	YHL042W	CAN1	YHL042W 
YEL063C	YGR014W	CAN1	MSB2 
YEL063C	YIL114C	CAN1	POR2 
YGR121C	YOR321W	MEP1	PMT3 
YGR121C	YIR038C	MEP1	GTT1 
YGR121C	YHR140W	MEP1	YHR140W 
YDL095W	YHR096C	PMT1	HXT5 
YBR222C	YDL006W	PCS60	PTC1 
YDL003W	YFL008W	MCD1	SMC1 
YDL003W	YJL074C	MCD1	SMC3 
YDL003W	YDL003W	MCD1	MCD1 
YDL003W	YMR001C	MCD1	CDC5 
YDL003W	YIL026C	MCD1	IRR1 
YDL003W	YDR308C	MCD1	SRB7 
YDL003W	YFR027W	MCD1	ECO1 
YMR183C	YMR183C	SSO2	SSO2 
YMR183C	YNR049C	SSO2	MSO1 
YER146W	YFL066C	LSM5	YFL066C 
YER146W	YLR438CA	LSM5	LSM3 
YER146W	YPL152W	LSM5	RRD2 
YER146W	YPL090C	LSM5	RPS6A 
YER146W	YJL084C	LSM5	ALY2 
YER146W	YER146W	LSM5	LSM5 
YER146W	YHL008C	LSM5	YHL008C 
YER146W	YIL048W	LSM5	NEO1 
YER146W	YER172C	LSM5	BRR2 
YER146W	YPR010C	LSM5	RPA135 
YER146W	YKL209C	LSM5	STE6 
YER146W	YPR184W	LSM5	GDB1 
YER146W	YGR210C	LSM5	YGR210C 
YER146W	YNL139C	LSM5	THO2 
YER146W	YJR022W	LSM5	LSM8 
YER146W	YLR058C	LSM5	SHM2 
YER146W	YJL124C	LSM5	LSM1 
YER146W	YOR308C	LSM5	SNU66 
YER146W	YJR138W	LSM5	IML1 
YER146W	YOR201C	LSM5	MRM1 
YER146W	YIL038C	LSM5	NOT3 
YER146W	YOR320C	LSM5	GNT1 
YER146W	YNL147W	LSM5	LSM7 
YER146W	YLR275W	LSM5	SMD2 
YER146W	YMR268C	LSM5	PRP24 
YER146W	YKR026C	LSM5	GCN3 
YPL063W	YPL063W	TIM50	TIM50 
YML075C	YML075C	HMG1	HMG1 
YML075C	YPL264C	HMG1	YPL264C 
YHR072WA	YPL208W	NOP10	RKM1 
YHR072WA	YNL124W	NOP10	NAF1 
YLR273C	YNR034W	PIG1	SOL1 
YDR181C	YJL115W	SAS4	ASF1 
YDR181C	YMR127C	SAS4	SAS2 
YDR181C	YOR213C	SAS4	SAS5 
YGL097W	YGL097W	SRM1	SRM1 
YCL056C	YPL240C	YCL056C	HSP82 
YCL056C	YDR142C	YCL056C	PEX7 
YCL056C	YJL185C	YCL056C	YJL185C 
YCL056C	YIL065C	YCL056C	FIS1 
YCL056C	YNL131W	YCL056C	TOM22 
YCL056C	YDL157C	YCL056C	YDL157C 
YJL083W	YPL004C	TAX4	LSP1 
YPL140C	YPL140C	MKK2	MKK2 
YOR026W	YOR026W	BUB3	BUB3 
YNR016C	YNR016C	ACC1	ACC1 
YKR054C	YKR054C	DYN1	DYN1 
YKR054C	YNL118C	DYN1	DCP2 
YKR054C	YMR117C	DYN1	SPC24 
YGR055W	YPL240C	MUP1	HSP82 
YGR055W	YGR055W	MUP1	MUP1 
YAL024C	YBR160W	LTE1	CDC28 
YAL024C	YIR009W	LTE1	MSL1 
YAL024C	YAL024C	LTE1	LTE1 
YAL024C	YHR158C	LTE1	KEL1 
YDR383C	YLR315W	NKP1	NKP2 
YDR383C	YDR383C	NKP1	NKP1 
YDR383C	YML051W	NKP1	GAL80 
YHR160C	YLR191W	PEX18	PEX13 
YHR160C	YIL160C	PEX18	POT1 
YGR047C	YKR034W	TFC4	DAL80 
YGR047C	YNL039W	TFC4	BDP1 
YGR047C	YGR246C	TFC4	BRF1 
YDR119W	YPR058W	VBA4	YMC1 
YDR119W	YKL188C	VBA4	PXA2 
YDR119W	YDR119W	VBA4	VBA4 
YDR119W	YHR078W	VBA4	YHR078W 
YDR119W	YGR041W	VBA4	BUD9 
YER151C	YNR051C	UBP3	BRE5 
YLR070C	YPL240C	XYL2	HSP82 
YPL228W	YPL228W	CET1	CET1 
YGR041W	YGR041W	BUD9	BUD9 
YDR353W	YHR106W	TRR1	TRR2 
YDR353W	YGR099W	TRR1	TEL2 
YDR353W	YGR209C	TRR1	TRX2 
YPL014W	YPL240C	YPL014W	HSP82 
YPL014W	YPL014W	YPL014W	YPL014W 
YOL137W	YPL240C	BSC6	HSP82 
YGL155W	YKL019W	CDC43	RAM2 
YGL155W	YGL155W	CDC43	CDC43 
YDL125C	YER075C	HNT1	PTP3 
YDL125C	YPL240C	HNT1	HSP82 
YDL125C	YHL018W	HNT1	YHL018W 
YHR186C	YHR186C	KOG1	KOG1 
YHR186C	YNL118C	KOG1	DCP2 
YHR186C	YJR066W	KOG1	TOR1 
YLL019C	YLL019C	KNS1	KNS1 
YLL019C	YPL209C	KNS1	IPL1 
YNL257C	YNL257C	SIP3	SIP3 
YJR092W	YMR032W	BUD4	HOF1 
YBR291C	YLL005C	CTP1	SPO75 
YBR291C	YHR096C	CTP1	HXT5 
YBR291C	YBR291C	CTP1	CTP1 
YLR078C	YPL240C	BOS1	HSP82 
YLR078C	YLR078C	BOS1	BOS1 
YLR078C	YMR257C	BOS1	PET111 
YDR179C	YMR025W	CSN9	CSI1 
YDR179C	YKR060W	CSN9	UTP30 
YDR179C	YHR005C	CSN9	GPA1 
YDR179C	YDR179C	CSN9	CSN9 
YDR179C	YJR084W	CSN9	YJR084W 
YIL053W	YPL201C	RHR2	YIG1 
YNL243W	YPL266W	SLA2	DIM1 
YNL243W	YNL298W	SLA2	CLA4 
YNL243W	YNL243W	SLA2	SLA2 
YNL243W	YOR284W	SLA2	HUA2 
YBR234C	YBR234C	ARC40	ARC40 
YBR234C	YDL029W	ARC40	ARP2 
YBR234C	YDR063W	ARC40	AIM7 
YNL047C	YNL047C	SLM2	SLM2 
YNL047C	YPL059W	SLM2	GRX5 
YKL038W	YOR047C	RGT1	STD1 
YKR060W	YKR060W	UTP30	UTP30 
YLR411W	YLR411W	CTR3	CTR3 
YFL009W	YOL133W	CDC4	HRT1 
YFL009W	YJL194W	CDC4	CDC6 
YFL009W	YLR079W	CDC4	SIC1 
YFL009W	YFL009W	CDC4	CDC4 
YFL009W	YKL159C	CDC4	RCN1 
YBR045C	YER133W	GIP1	GLC7 
YBR045C	YBR045C	GIP1	GIP1 
YMR039C	YMR039C	SUB1	SUB1 
YGL147C	YIL133C	RPL9A	RPL16A 
YPL188W	YPL240C	POS5	HSP82 
YDR217C	YJL090C	RAD9	DPB11 
YDR217C	YDR217C	RAD9	RAD9 
YDR217C	YPL153C	RAD9	RAD53 
YDR217C	YHR031C	RAD9	RRM3 
YML015C	YML015C	TAF11	TAF11 
YML015C	YML098W	TAF11	TAF13 
YML015C	YMR236W	TAF11	TAF9 
YMR008C	YMR008C	PLB1	PLB1 
YMR274C	YOL132W	RCE1	GAS4 
YOR197W	YOR197W	MCA1	MCA1 
YOR197W	YPR154W	MCA1	PIN3 
YDR532C	YIL144W	KRE28	TID3 
YDR532C	YFR008W	KRE28	FAR7 
YDR532C	YLR031W	KRE28	YLR031W 
YDR532C	YDR532C	KRE28	KRE28 
YDR532C	YHR079C	KRE28	IRE1 
YLR006C	YNR031C	SSK1	SSK2 
YHR079C	YML075C	IRE1	HMG1 
YHR079C	YIL061C	IRE1	SNP1 
YHR079C	YHR079C	IRE1	IRE1 
YPR171W	YPR171W	BSP1	BSP1 
YLR178C	YOL081W	TFS1	IRA2 
YLR178C	YLR178C	TFS1	TFS1 
YJL090C	YML099C	DPB11	ARG81 
YJL090C	YLR386W	DPB11	VAC14 
YJL090C	YLR072W	DPB11	YLR072W 
YJL090C	YLR098C	DPB11	CHA4 
YJL090C	YPL194W	DPB11	DDC1 
YJL090C	YKL108W	DPB11	SLD2 
YMR203W	YNR017W	TOM40	TIM23 
YMR203W	YNL121C	TOM40	TOM70 
YMR203W	YMR203W	TOM40	TOM40 
YMR203W	YPR133WA	TOM40	TOM5 
YMR203W	YNL131W	TOM40	TOM22 
YMR203W	YOR045W	TOM40	TOM6 
YIR008C	YNL262W	PRI1	POL2 
YAL044WA	YNL218W	YAL044WA	MGS1 
YAL044WA	YNL249C	YAL044WA	MPA43 
YAL044WA	YER174C	YAL044WA	GRX4 
YAL044WA	YDR098C	YAL044WA	GRX3 
YIR010W	YPL018W	DSN1	CTF19 
YIR010W	YJR112W	DSN1	NNF1 
YBL008W	YJL115W	HIR1	ASF1 
YBL008W	YBL008W	HIR1	HIR1 
YMR095C	YMR095C	SNO1	SNO1 
YMR095C	YMR096W	SNO1	SNZ1 
YMR095C	YNL334C	SNO1	SNO2 
YMR095C	YPL070W	SNO1	MUK1 
YMR095C	YNL333W	SNO1	SNZ2 
YKR101W	YKR101W	SIR1	SIR1 
YKR101W	YML065W	SIR1	ORC1 
YHR198C	YML064C	AIM18	TEM1 
YOR076C	YOR076C	SKI7	SKI7 
YNL219C	YPL094C	ALG9	SEC62 
YGL015C	YLR319C	YGL015C	BUD6 
YIL034C	YKL007W	CAP2	CAP1 
YLR148W	YLR148W	PEP3	PEP3 
YLR148W	YOR106W	PEP3	VAM3 
YLR148W	YMR231W	PEP3	PEP5 
YLR148W	YPL045W	PEP3	VPS16 
YLR148W	YLR396C	PEP3	VPS33 
YOL070C	YOL070C	NBA1	NBA1 
YOL070C	YOR098C	NBA1	NUP1 
YDL160C	YEL015W	DHH1	EDC3 
YDL160C	YOL149W	DHH1	DCP1 
YDL160C	YDL160C	DHH1	DHH1 
YMR266W	YMR266W	RSN1	RSN1 
YNL021W	YNL021W	HDA1	HDA1 
YNL021W	YOL012C	HDA1	HTZ1 
YGR088W	YLR291C	CTT1	GCD7 
YGR088W	YNR052C	CTT1	POP2 
YCR063W	YPR152C	BUD31	URN1 
YCR063W	YDR408C	BUD31	ADE8 
YCR063W	YOL135C	BUD31	MED7 
YML092C	YML092C	PRE8	PRE8 
YML092C	YOL038W	PRE8	PRE6 
YML092C	YOR157C	PRE8	PUP1 
YNL056W	YNL099C	OCA2	OCA1 
YNL056W	YNL056W	OCA2	OCA2 
YDL025C	YPL260W	RTK1	YPL260W 
YAL020C	YBL071WA	ATS1	KTI11 
YFL017C	YFL017C	GNA1	GNA1 
YFL017C	YOL059W	GNA1	GPD2 
YFL017C	YMR117C	GNA1	SPC24 
YFL017C	YOR362C	GNA1	PRE10 
YGL197W	YLR191W	MDS3	PEX13 
YGL197W	YMR109W	MDS3	MYO5 
YGL197W	YGL197W	MDS3	MDS3 
YGL197W	YLR310C	MDS3	CDC25 
YGL197W	YKL129C	MDS3	MYO3 
YHR092C	YLR292C	HXT4	SEC72 
YHR092C	YPR194C	HXT4	OPT2 
YDR113C	YGR060W	PDS1	ERG25 
YDR113C	YGR098C	PDS1	ESP1 
YDR113C	YGL116W	PDS1	CDC20 
YDR113C	YGL003C	PDS1	CDH1 
YDR113C	YDR113C	PDS1	PDS1 
YML032C	YNL312W	RAD52	RFA2 
YML032C	YML032C	RAD52	RAD52 
YDL247W	YPL240C	MPH2	HSP82 
YOR081C	YOR081C	TGL5	TGL5 
YLR442C	YLR442C	SIR3	SIR3 
YLR442C	YNL216W	SIR3	RAP1 
YMR257C	YOR197W	PET111	MCA1 
YMR257C	YMR257C	PET111	PET111 
YMR257C	YNL121C	PET111	TOM70 
YKL122C	YML105C	SRP21	SEC65 
YGL240W	YKL022C	DOC1	CDC16 
YGL240W	YPR187W	DOC1	RPO26 
YGL240W	YKL109W	DOC1	HAP4 
YGL240W	YNL025C	DOC1	SSN8 
YGL240W	YLR102C	DOC1	APC9 
YGL240W	YHR166C	DOC1	CDC23 
YGL240W	YLR127C	DOC1	APC2 
YGL240W	YKR048C	DOC1	NAP1 
YGL240W	YGL240W	DOC1	DOC1 
YGL240W	YOR358W	DOC1	HAP5 
YGL240W	YNL193W	DOC1	YNL193W 
YGL240W	YNL172W	DOC1	APC1 
YJL060W	YPL240C	BNA3	HSP82 
YJL060W	YJL060W	BNA3	BNA3 
YPR062W	YPR062W	FCY1	FCY1 
YGR104C	YLR071C	SRB5	RGR1 
YGR104C	YHR058C	SRB5	MED6 
YGR104C	YGR104C	SRB5	SRB5 
YGR104C	YOL051W	SRB5	GAL11 
YGR104C	YPL042C	SRB5	SSN3 
YGR104C	YNL236W	SRB5	SIN4 
YGR104C	YHR041C	SRB5	SRB2 
YGR104C	YOL135C	SRB5	MED7 
YER174C	YGR262C	GRX4	BUD32 
YER174C	YGL071W	GRX4	AFT1 
YDR320CA	YLL049W	DAD4	LDB18 
YDR320CA	YDR357C	DAD4	CNL1 
YDR320CA	YKL052C	DAD4	ASK1 
YDR320CA	YMR037C	DAD4	MSN2 
YDR320CA	YPR046W	DAD4	MCM16 
YDR320CA	YPL016W	DAD4	SWI1 
YDR320CA	YFR042W	DAD4	KEG1 
YDR320CA	YKR037C	DAD4	SPC34 
YDR320CA	YNL097C	DAD4	PHO23 
YDR320CA	YKR083C	DAD4	DAD2 
YDR320CA	YOL091W	DAD4	SPO21 
YDR320CA	YJR021C	DAD4	REC107 
YDR320CA	YGL127C	DAD4	SOH1 
YDR320CA	YGL061C	DAD4	DUO1 
YDR320CA	YER018C	DAD4	SPC25 
YDR320CA	YER127W	DAD4	LCP5 
YMR146C	YNL244C	TIF34	SUI1 
YMR146C	YMR309C	TIF34	NIP1 
YMR146C	YOR361C	TIF34	PRT1 
YMR146C	YPR041W	TIF34	TIF5 
YGR241C	YLL017W	YAP1802	YLL017W 
YGR241C	YNL084C	YAP1802	END3 
YGR241C	YHR016C	YAP1802	YSC84 
YGR241C	YPL077C	YAP1802	YPL077C 
YGR241C	YIL095W	YAP1802	PRK1 
YGR241C	YIR006C	YAP1802	PAN1 
YGR241C	YGR241C	YAP1802	YAP1802 
YGL062W	YIL030C	PYC1	SSM4 
YGL062W	YJR017C	PYC1	ESS1 
YGL062W	YKL012W	PYC1	PRP40 
YDR156W	YOR340C	RPA14	RPA43 
YDR156W	YNL172W	RPA14	APC1 
YJR113C	YKL048C	RSM7	ELM1 
YMR155W	YPL240C	YMR155W	HSP82 
YMR155W	YMR155W	YMR155W	YMR155W 
YNL180C	YNL180C	RHO5	RHO5 
YIL140W	YIL140W	AXL2	AXL2 
YIL140W	YJL129C	AXL2	TRK1 
YKL142W	YNL210W	MRP8	MER1 
YKL142W	YNL063W	MRP8	MTQ1 
YKL142W	YOL059W	MRP8	GPD2 
YKL142W	YMR210W	MRP8	YMR210W 
YKL142W	YKL157W	MRP8	APE2 
YKL142W	YMR243C	MRP8	ZRC1 
YKL142W	YKL142W	MRP8	MRP8 
YKL142W	YMR165C	MRP8	PAH1 
YKL142W	YPL004C	MRP8	LSP1 
YHR032W	YHR032W	ERC1	ERC1 
YDR429C	YFL017C	TIF35	GNA1 
YDR429C	YOR361C	TIF35	PRT1 
YDR429C	YMR146C	TIF35	TIF34 
YDR429C	YDR429C	TIF35	TIF35 
YGL079W	YGR113W	KXD1	DAM1 
YHR084W	YHR084W	STE12	STE12 
YHR084W	YLR310C	STE12	CDC25 
YHR084W	YPL049C	STE12	DIG1 
YMR233W	YMR257C	TRI1	PET111 
YMR233W	YOL006C	TRI1	TOP1 
YLL010C	YOR043W	PSR1	WHI2 
YNL188W	YNL188W	KAR1	KAR1 
YNL104C	YOR108W	LEU4	LEU9 
YNL104C	YNL104C	LEU4	LEU4 
YIL005W	YIL166C	EPS1	YIL166C 
YIL005W	YIL005W	EPS1	EPS1 
YNR034W	YOR178C	SOL1	GAC1 
YGL104C	YPL076W	VPS73	GPI2 
YGL104C	YGL104C	VPS73	VPS73 
YGL104C	YGL212W	VPS73	VAM7 
YGL104C	YML075C	VPS73	HMG1 
YGL104C	YHR114W	VPS73	BZZ1 
YGL104C	YJL133W	VPS73	MRS3 
YGL104C	YKL065C	VPS73	YET1 
YGL104C	YIR038C	VPS73	GTT1 
YGL104C	YLR372W	VPS73	SUR4 
YGL104C	YPR028W	VPS73	YOP1 
YGL104C	YJR117W	VPS73	STE24 
YGL104C	YMR264W	VPS73	CUE1 
YGL104C	YML048W	VPS73	GSF2 
YGL104C	YOR016C	VPS73	ERP4 
YGL104C	YNL054W	VPS73	VAC7 
YGL104C	YIL016W	VPS73	SNL1 
YGL104C	YGL225W	VPS73	VRG4 
YGL104C	YPL175W	VPS73	SPT14 
YGL104C	YPL270W	VPS73	MDL2 
YGR243W	YGR243W	FMP43	FMP43 
YGR243W	YHR016C	FMP43	YSC84 
YDR164C	YPL232W	SEC1	SSO1 
YDR164C	YNR049C	SEC1	MSO1 
YDR164C	YMR183C	SEC1	SSO2 
YDR464W	YDR464W	SPP41	SPP41 
YGR210C	YMR109W	YGR210C	MYO5 
YHR193C	YLR146C	EGD2	SPE4 
